W,S,6,1,Dell
W,R,8,2,Dell
W,R,6,1,Apple
W,R,6,1,Microsoft
W,R,8,1,Apple
W,R,7,2,Dell
NW,S,10,1,Dell
W,R,9,1,Dell
W,R,8,1,Dell
W,R,7,1,Dell
W,R,7,1,Dell
NW,R,10,2,Acer
NW,R,6,1,Microsoft
NW,R,12,2,MSI
W,R,6,1,ASUS
W,R,8,1,Dell
NW,R,7,1,Razer
W,R,6,1,Microsoft
W,R,3,1,Apple
W,S,8,2,Dell
W,R,7,2,Dell
NW,S,10,1,CyberpowerPC
W,R,5,1,Apple
NL,R,5,2,Dell
NL,R,10,1,Lenovo
W,R,6,2,Lenovo
W,S,8,2,Dell
W,R,8,1,Apple
NL,R,7,2,Lenovo
NW,S,9,1,Dell
NL,R,9,2,ASUS
NW,R,8,2,HP
NL,R,8,2,HP
NW,R,7,2,Dell
NW,R,10,2,MSI
W,R,3,1,Apple
W,R,5,1,Apple
NW,R,8,1,Samsung
W,R,8,1,Apple
